NDO;Fecha de Venta;Fecha de Vuelo;Region POC;Clase;Neto;NS
128;27/08/2022;02/01/2023;AMERICA;A;0;77
127;28/08/2022;02/01/2023;AMERICA;P;8;77
126;29/08/2022;02/01/2023;AMERICA;P;-1;77
125;30/08/2022;02/01/2023;AMERICA;P;3;77
124;31/08/2022;02/01/2023;AMERICA;P;4;77
124;31/08/2022;02/01/2023;AMERICA;V;1;77
123;01/09/2022;02/01/2023;AMERICA;P;-2;77
123;01/09/2022;02/01/2023;ESPANA;Q;1;77
122;02/09/2022;02/01/2023;AMERICA;Q;2;77
120;04/09/2022;02/01/2023;ESPANA;Q;-1;77
118;06/09/2022;02/01/2023;AMERICA;Q;5;77
118;06/09/2022;02/01/2023;ESPANA;Q;4;77
117;07/09/2022;02/01/2023;AMERICA;Q;1;77
116;08/09/2022;02/01/2023;AMERICA;Q;2;77
111;13/09/2022;02/01/2023;AMERICA;Q;1;77
111;13/09/2022;02/01/2023;ESPANA;T;0;77
110;14/09/2022;02/01/2023;AMERICA;Q;0;77
110;14/09/2022;02/01/2023;ESPANA;T;1;77
109;15/09/2022;02/01/2023;AMERICA;Q;-1;77
107;17/09/2022;02/01/2023;ESPANA;T;1;77
105;19/09/2022;02/01/2023;AMERICA;Q;9;77
104;20/09/2022;02/01/2023;AMERICA;Q;1;77
104;20/09/2022;02/01/2023;ESPANA;T;0;77
103;21/09/2022;02/01/2023;AMERICA;Q;1;77
101;23/09/2022;02/01/2023;AMERICA;Q;-7;77
101;23/09/2022;02/01/2023;ESPANA;S;2;77
101;23/09/2022;02/01/2023;ESPANA;T;1;77
100;24/09/2022;02/01/2023;AMERICA;Q;2;77
100;24/09/2022;02/01/2023;ESPANA;T;1;77
98;26/09/2022;02/01/2023;AMERICA;Q;3;77
98;26/09/2022;02/01/2023;ESPANA;T;2;77
98;26/09/2022;02/01/2023;ESPANA;S;-2;77
97;27/09/2022;02/01/2023;AMERICA;Q;3;77
97;27/09/2022;02/01/2023;ESPANA;S;4;77
97;27/09/2022;02/01/2023;EUROPA;X;0;77
96;28/09/2022;02/01/2023;AMERICA;T;2;77
96;28/09/2022;02/01/2023;AMERICA;Q;0;77
96;28/09/2022;02/01/2023;ESPANA;S;-2;77
95;29/09/2022;02/01/2023;AMERICA;Q;1;77
95;29/09/2022;02/01/2023;AMERICA;T;-1;77
95;29/09/2022;02/01/2023;ESPANA;S;2;77
94;30/09/2022;02/01/2023;ESPANA;S;-2;77
92;02/10/2022;02/01/2023;AMERICA;T;-1;77
90;04/10/2022;02/01/2023;AMERICA;Q;1;77
89;05/10/2022;02/01/2023;AMERICA;Q;6;77
89;05/10/2022;02/01/2023;AMERICA;U;1;77
88;06/10/2022;02/01/2023;AMERICA;Q;4;77
88;06/10/2022;02/01/2023;AMERICA;V;0;77
87;07/10/2022;02/01/2023;AMERICA;T;1;77
87;07/10/2022;02/01/2023;ESPANA;P;1;77
85;09/10/2022;02/01/2023;AMERICA;Q;-3;77
85;09/10/2022;02/01/2023;ESPANA;R;1;77
84;10/10/2022;02/01/2023;AMERICA;Q;4;77
84;10/10/2022;02/01/2023;AMERICA;T;-1;77
84;10/10/2022;02/01/2023;AMERICA;A;-1;77
84;10/10/2022;02/01/2023;ESPANA;H;0;77
84;10/10/2022;02/01/2023;ESPANA;R;-1;77
83;11/10/2022;02/01/2023;AMERICA;Q;-1;77
83;11/10/2022;02/01/2023;ESPANA;R;2;77
82;12/10/2022;02/01/2023;AMERICA;Q;5;77
81;13/10/2022;02/01/2023;AMERICA;Q;11;77
81;13/10/2022;02/01/2023;AMERICA;T;1;77
81;13/10/2022;02/01/2023;ESPANA;R;1;77
80;14/10/2022;02/01/2023;AMERICA;T;5;77
80;14/10/2022;02/01/2023;AMERICA;Q;-1;77
79;15/10/2022;02/01/2023;AMERICA;T;2;77
78;16/10/2022;02/01/2023;AMERICA;Q;-7;77
77;17/10/2022;02/01/2023;AMERICA;Q;4;77
77;17/10/2022;02/01/2023;AMERICA;N;0;77
77;17/10/2022;02/01/2023;AMERICA;T;-2;77
76;18/10/2022;02/01/2023;AMERICA;T;9;77
76;18/10/2022;02/01/2023;AMERICA;R;2;77
76;18/10/2022;02/01/2023;AMERICA;U;0;77
76;18/10/2022;02/01/2023;ESPANA;S;1;77
75;19/10/2022;02/01/2023;AMERICA;R;2;77
75;19/10/2022;02/01/2023;AMERICA;T;-1;77
75;19/10/2022;02/01/2023;ESPANA;S;4;77
75;19/10/2022;02/01/2023;ESPANA;H;1;77
74;20/10/2022;02/01/2023;AMERICA;F;6;77
74;20/10/2022;02/01/2023;AMERICA;T;-1;77
74;20/10/2022;02/01/2023;AMERICA;P;-5;77
74;20/10/2022;02/01/2023;AMERICA;Q;-8;77
74;20/10/2022;02/01/2023;ESPANA;H;0;77
74;20/10/2022;02/01/2023;ESPANA;T;-1;77
73;21/10/2022;02/01/2023;AMERICA;Q;2;77
73;21/10/2022;02/01/2023;AMERICA;R;1;77
73;21/10/2022;02/01/2023;AMERICA;U;1;77
73;21/10/2022;02/01/2023;AMERICA;P;1;77
73;21/10/2022;02/01/2023;AMERICA;T;-2;77
72;22/10/2022;02/01/2023;AMERICA;R;2;77
71;23/10/2022;02/01/2023;AMERICA;U;0;77
71;23/10/2022;02/01/2023;AMERICA;R;-2;77
71;23/10/2022;02/01/2023;ESPANA;S;-4;77
70;24/10/2022;02/01/2023;AMERICA;U;0;77
70;24/10/2022;02/01/2023;AMERICA;R;-1;77
70;24/10/2022;02/01/2023;AMERICA;P;-1;77
70;24/10/2022;02/01/2023;EUROPA;K;1;77
69;25/10/2022;02/01/2023;AMERICA;F;0;77
69;25/10/2022;02/01/2023;AMERICA;Y;0;77
68;26/10/2022;02/01/2023;AMERICA;S;3;77
68;26/10/2022;02/01/2023;AMERICA;U;1;77
68;26/10/2022;02/01/2023;AMERICA;R;-2;77
68;26/10/2022;02/01/2023;ESPANA;P;1;77
67;27/10/2022;02/01/2023;AMERICA;S;2;77
67;27/10/2022;02/01/2023;AMERICA;U;-1;77
66;28/10/2022;02/01/2023;AMERICA;S;1;77
66;28/10/2022;02/01/2023;AMERICA;U;1;77
66;28/10/2022;02/01/2023;ESPANA;P;1;77
65;29/10/2022;02/01/2023;ESPANA;S;1;77
64;30/10/2022;02/01/2023;ESPANA;V;1;77
63;31/10/2022;02/01/2023;AMERICA;S;0;77
63;31/10/2022;02/01/2023;ESPANA;H;0;77
63;31/10/2022;02/01/2023;ESPANA;P;-1;77
62;01/11/2022;02/01/2023;AMERICA;R;1;77
62;01/11/2022;02/01/2023;AMERICA;U;-1;77
62;01/11/2022;02/01/2023;AMERICA;S;-2;77
62;01/11/2022;02/01/2023;ESPANA;H;0;77
61;02/11/2022;02/01/2023;AMERICA;U;2;77
61;02/11/2022;02/01/2023;AMERICA;R;0;77
61;02/11/2022;02/01/2023;AMERICA;N;-2;77
61;02/11/2022;02/01/2023;ESPANA;S;0;77
61;02/11/2022;02/01/2023;ESPANA;V;-1;77
61;02/11/2022;02/01/2023;EUROPA;S;1;77
60;03/11/2022;02/01/2023;AMERICA;U;7;77
60;03/11/2022;02/01/2023;EUROPA;K;-1;77
59;04/11/2022;02/01/2023;AMERICA;R;1;77
58;05/11/2022;02/01/2023;AMERICA;R;1;77
58;05/11/2022;02/01/2023;ESPANA;H;0;77
57;06/11/2022;02/01/2023;AMERICA;F;2;77
57;06/11/2022;02/01/2023;EUROPA;S;-1;77
56;07/11/2022;02/01/2023;AMERICA;T;2;77
56;07/11/2022;02/01/2023;AMERICA;U;-7;77
55;08/11/2022;02/01/2023;AMERICA;Q;2;77
55;08/11/2022;02/01/2023;AMERICA;R;-1;77
55;08/11/2022;02/01/2023;AMERICA;T;-2;77
55;08/11/2022;02/01/2023;ESPANA;T;0;77
54;09/11/2022;02/01/2023;AMERICA;Q;0;77
54;09/11/2022;02/01/2023;ESPANA;F;2;77
53;10/11/2022;02/01/2023;AMERICA;Q;-1;77
53;10/11/2022;02/01/2023;ESPANA;R;1;77
53;10/11/2022;02/01/2023;ESPANA;U;1;77
53;10/11/2022;02/01/2023;ESPANA;F;-2;77
52;11/11/2022;02/01/2023;ESPANA;Q;1;77
51;12/11/2022;02/01/2023;AMERICA;T;2;77
51;12/11/2022;02/01/2023;AMERICA;Q;2;77
50;13/11/2022;02/01/2023;AMERICA;Q;-1;77
49;14/11/2022;02/01/2023;AMERICA;Q;10;77
49;14/11/2022;02/01/2023;AMERICA;F;0;77
49;14/11/2022;02/01/2023;ESPANA;Q;1;77
48;15/11/2022;02/01/2023;AMERICA;T;6;77
48;15/11/2022;02/01/2023;AMERICA;Q;4;77
48;15/11/2022;02/01/2023;ESPANA;R;-1;77
47;16/11/2022;02/01/2023;AMERICA;Q;-2;77
47;16/11/2022;02/01/2023;ESPANA;T;2;77
46;17/11/2022;02/01/2023;AMERICA;T;1;77
46;17/11/2022;02/01/2023;AMERICA;Q;-3;77
46;17/11/2022;02/01/2023;ESPANA;F;2;77
46;17/11/2022;02/01/2023;ESPANA;Y;0;77
45;18/11/2022;02/01/2023;AMERICA;T;-5;77
45;18/11/2022;02/01/2023;ESPANA;F;0;77
44;19/11/2022;02/01/2023;AMERICA;T;0;77
43;20/11/2022;02/01/2023;AMERICA;T;1;77
42;21/11/2022;02/01/2023;AMERICA;Q;4;77
41;22/11/2022;02/01/2023;AMERICA;Q;1;77
40;23/11/2022;02/01/2023;AMERICA;Q;1;77
39;24/11/2022;02/01/2023;AMERICA;Q;2;77
39;24/11/2022;02/01/2023;ESPANA;T;-2;77
38;25/11/2022;02/01/2023;AMERICA;Q;1;77
38;25/11/2022;02/01/2023;AMERICA;U;0;77
38;25/11/2022;02/01/2023;ESPANA;R;6;77
38;25/11/2022;02/01/2023;ESPANA;Y;0;77
37;26/11/2022;02/01/2023;AMERICA;T;2;77
37;26/11/2022;02/01/2023;AMERICA;Q;-1;77
37;26/11/2022;02/01/2023;NA;K;1;77
35;28/11/2022;02/01/2023;AMERICA;P;4;77
35;28/11/2022;02/01/2023;AMERICA;S;0;77
35;28/11/2022;02/01/2023;AMERICA;Q;-4;77
35;28/11/2022;02/01/2023;EUROPA;K;1;77
34;29/11/2022;02/01/2023;AMERICA;P;2;77
34;29/11/2022;02/01/2023;AMERICA;Q;-2;77
34;29/11/2022;02/01/2023;ESPANA;K;1;77
34;29/11/2022;02/01/2023;NA;K;-1;77
33;30/11/2022;02/01/2023;AMERICA;A;3;77
33;30/11/2022;02/01/2023;AMERICA;P;-1;77
33;30/11/2022;02/01/2023;ESPANA;R;1;77
32;01/12/2022;02/01/2023;AMERICA;A;2;77
32;01/12/2022;02/01/2023;AMERICA;Q;1;77
32;01/12/2022;02/01/2023;AMERICA;P;0;77
32;01/12/2022;02/01/2023;EUROPA;K;1;77
31;02/12/2022;02/01/2023;AMERICA;A;2;77
31;02/12/2022;02/01/2023;AMERICA;P;-1;77
31;02/12/2022;02/01/2023;EUROPA;K;0;77
30;03/12/2022;02/01/2023;AMERICA;A;1;77
30;03/12/2022;02/01/2023;AMERICA;P;-3;77
29;04/12/2022;02/01/2023;AMERICA;A;2;77
29;04/12/2022;02/01/2023;AMERICA;P;-1;77
29;04/12/2022;02/01/2023;ESPANA;S;1;77
29;04/12/2022;02/01/2023;ESPANA;R;-1;77
29;04/12/2022;02/01/2023;EUROPA;E;0;77
28;05/12/2022;02/01/2023;AMERICA;A;7;77
28;05/12/2022;02/01/2023;AMERICA;Q;0;77
27;06/12/2022;02/01/2023;AMERICA;P;1;77
27;06/12/2022;02/01/2023;AMERICA;R;0;77
27;06/12/2022;02/01/2023;ESPANA;R;1;77
26;07/12/2022;02/01/2023;AMERICA;P;2;77
26;07/12/2022;02/01/2023;AMERICA;U;-1;77
26;07/12/2022;02/01/2023;AMERICA;A;-1;77
26;07/12/2022;02/01/2023;ESPANA;R;2;77
26;07/12/2022;02/01/2023;ESPANA;T;1;77
25;08/12/2022;02/01/2023;AMERICA;P;3;77
25;08/12/2022;02/01/2023;ESPANA;R;0;77
24;09/12/2022;02/01/2023;AMERICA;H;2;77
24;09/12/2022;02/01/2023;AMERICA;Q;2;77
24;09/12/2022;02/01/2023;AMERICA;S;1;77
24;09/12/2022;02/01/2023;AMERICA;P;0;77
24;09/12/2022;02/01/2023;AMERICA;A;-8;77
24;09/12/2022;02/01/2023;ESPANA;R;1;77
24;09/12/2022;02/01/2023;EUROPA;L;1;77
24;09/12/2022;02/01/2023;EUROPA;K;1;77
23;10/12/2022;02/01/2023;AMERICA;P;2;77
23;10/12/2022;02/01/2023;AMERICA;S;-1;77
23;10/12/2022;02/01/2023;AMERICA;Q;-2;77
23;10/12/2022;02/01/2023;EUROPA;K;-1;77
22;11/12/2022;02/01/2023;AMERICA;A;-1;77
22;11/12/2022;02/01/2023;AMERICA;P;-4;77
22;11/12/2022;02/01/2023;ESPANA;R;0;77
21;12/12/2022;02/01/2023;AMERICA;A;10;77
21;12/12/2022;02/01/2023;AMERICA;P;0;77
21;12/12/2022;02/01/2023;ESPANA;R;1;77
21;12/12/2022;02/01/2023;ESPANA;T;0;77
21;12/12/2022;02/01/2023;ESPANA;P;0;77
21;12/12/2022;02/01/2023;EUROPA;K;1;77
20;13/12/2022;02/01/2023;AMERICA;P;4;77
20;13/12/2022;02/01/2023;AMERICA;L;1;77
20;13/12/2022;02/01/2023;AMERICA;Q;1;77
20;13/12/2022;02/01/2023;ESPANA;T;-2;77
19;14/12/2022;02/01/2023;AMERICA;P;1;77
19;14/12/2022;02/01/2023;AMERICA;T;0;77
19;14/12/2022;02/01/2023;AMERICA;Q;-1;77
19;14/12/2022;02/01/2023;ESPANA;T;1;77
18;15/12/2022;02/01/2023;AMERICA;Q;1;77
18;15/12/2022;02/01/2023;AMERICA;P;1;77
18;15/12/2022;02/01/2023;AMERICA;T;0;77
17;16/12/2022;02/01/2023;AMERICA;P;1;77
17;16/12/2022;02/01/2023;AMERICA;T;-1;77
17;16/12/2022;02/01/2023;AMERICA;A;-1;77
17;16/12/2022;02/01/2023;ESPANA;T;0;77
16;17/12/2022;02/01/2023;AMERICA;P;-1;77
15;18/12/2022;02/01/2023;AMERICA;P;-1;77
14;19/12/2022;02/01/2023;AMERICA;A;1;77
14;19/12/2022;02/01/2023;AMERICA;T;0;77
14;19/12/2022;02/01/2023;ESPANA;R;1;77
13;20/12/2022;02/01/2023;AMERICA;A;3;77
13;20/12/2022;02/01/2023;AMERICA;P;0;77
12;21/12/2022;02/01/2023;AMERICA;A;2;77
12;21/12/2022;02/01/2023;AMERICA;Y;1;77
12;21/12/2022;02/01/2023;AMERICA;P;1;77
12;21/12/2022;02/01/2023;AMERICA;Q;-1;77
12;21/12/2022;02/01/2023;ESPANA;Q;1;77
12;21/12/2022;02/01/2023;ESPANA;T;0;77
11;22/12/2022;02/01/2023;AMERICA;P;-1;77
11;22/12/2022;02/01/2023;AMERICA;T;-2;77
11;22/12/2022;02/01/2023;ESPANA;V;1;77
10;23/12/2022;02/01/2023;AMERICA;P;-2;77
10;23/12/2022;02/01/2023;AMERICA;A;-2;77
10;23/12/2022;02/01/2023;ESPANA;H;1;77
10;23/12/2022;02/01/2023;ESPANA;T;1;77
10;23/12/2022;02/01/2023;ESPANA;Q;0;77
9;24/12/2022;02/01/2023;AMERICA;A;-1;77
9;24/12/2022;02/01/2023;ESPANA;R;0;77
9;24/12/2022;02/01/2023;ESPANA;H;-1;77
9;24/12/2022;02/01/2023;ESPANA;Q;-1;77
8;25/12/2022;02/01/2023;ESPANA;R;2;77
7;26/12/2022;02/01/2023;AMERICA;A;0;77
7;26/12/2022;02/01/2023;AMERICA;Y;-1;77
7;26/12/2022;02/01/2023;ESPANA;S;0;77
6;27/12/2022;02/01/2023;AMERICA;T;-1;77
6;27/12/2022;02/01/2023;ESPANA;H;1;77
6;27/12/2022;02/01/2023;ESPANA;Q;1;77
6;27/12/2022;02/01/2023;ESPANA;Y;0;77
6;27/12/2022;02/01/2023;ESPANA;R;0;77
6;27/12/2022;02/01/2023;EUROPA;L;1;77
5;28/12/2022;02/01/2023;AMERICA;A;1;77
5;28/12/2022;02/01/2023;AMERICA;N;1;77
5;28/12/2022;02/01/2023;AMERICA;Q;-1;77
5;28/12/2022;02/01/2023;ESPANA;P;4;77
5;28/12/2022;02/01/2023;ESPANA;V;1;77
5;28/12/2022;02/01/2023;ESPANA;R;1;77
5;28/12/2022;02/01/2023;ESPANA;Q;1;77
5;28/12/2022;02/01/2023;EUROPA;E;0;77
4;29/12/2022;02/01/2023;AMERICA;L;-1;77
4;29/12/2022;02/01/2023;AMERICA;A;-1;77
4;29/12/2022;02/01/2023;ESPANA;P;1;77
4;29/12/2022;02/01/2023;ESPANA;A;0;77
4;29/12/2022;02/01/2023;ESPANA;Q;-1;77
3;30/12/2022;02/01/2023;AMERICA;Y;2;77
3;30/12/2022;02/01/2023;AMERICA;A;0;77
3;30/12/2022;02/01/2023;ESPANA;A;5;77
3;30/12/2022;02/01/2023;ESPANA;H;3;77
3;30/12/2022;02/01/2023;ESPANA;S;3;77
3;30/12/2022;02/01/2023;ESPANA;B;1;77
3;30/12/2022;02/01/2023;ESPANA;K;1;77
3;30/12/2022;02/01/2023;ESPANA;V;1;77
3;30/12/2022;02/01/2023;ESPANA;P;-1;77
2;31/12/2022;02/01/2023;AMERICA;A;-2;77
2;31/12/2022;02/01/2023;ESPANA;A;2;77
2;31/12/2022;02/01/2023;ESPANA;K;-1;77
2;31/12/2022;02/01/2023;ESPANA;S;-2;77
2;31/12/2022;02/01/2023;ESPANA;R;-2;77
1;01/01/2023;02/01/2023;AMERICA;P;2;77
1;01/01/2023;02/01/2023;AMERICA;U;0;77
1;01/01/2023;02/01/2023;AMERICA;T;0;77
1;01/01/2023;02/01/2023;AMERICA;Q;0;77
1;01/01/2023;02/01/2023;AMERICA;A;-1;77
1;01/01/2023;02/01/2023;AMERICA;S;-2;77
1;01/01/2023;02/01/2023;ESPANA;A;0;77
1;01/01/2023;02/01/2023;ESPANA;R;-1;77
1;01/01/2023;02/01/2023;EUROPA;H;0;77
1;01/01/2023;02/01/2023;EUROPA;R;0;77
0;02/01/2023;02/01/2023;AMERICA;F;-1;77
0;02/01/2023;02/01/2023;AMERICA;R;-1;77
0;02/01/2023;02/01/2023;AMERICA;U;-2;77
0;02/01/2023;02/01/2023;AMERICA;N;-3;77
0;02/01/2023;02/01/2023;AMERICA;P;-6;77
0;02/01/2023;02/01/2023;AMERICA;T;-9;77
0;02/01/2023;02/01/2023;AMERICA;Q;-26;77
0;02/01/2023;02/01/2023;AMERICA;A;-28;77
0;02/01/2023;02/01/2023;ESPANA;R;-1;77
-32;03/02/2023;02/01/2023;ESPANA;P;0;77
358;12/01/2022;05/01/2023;ESPANA;T;1;53
354;16/01/2022;05/01/2023;ESPANA;T;-1;53
309;02/03/2022;05/01/2023;AMERICA;O;1;53
296;15/03/2022;05/01/2023;ESPANA;R;1;53
281;30/03/2022;05/01/2023;AMERICA;O;2;53
279;01/04/2022;05/01/2023;AMERICA;O;-1;53
269;11/04/2022;05/01/2023;AMERICA;N;4;53
268;12/04/2022;05/01/2023;AMERICA;N;2;53
268;12/04/2022;05/01/2023;ESPANA;N;1;53
262;18/04/2022;05/01/2023;AMERICA;N;0;53
256;24/04/2022;05/01/2023;AMERICA;A;0;53
254;26/04/2022;05/01/2023;AMERICA;A;2;53
251;29/04/2022;05/01/2023;AMERICA;A;0;53
250;30/04/2022;05/01/2023;AMERICA;O;-1;53
250;30/04/2022;05/01/2023;AMERICA;A;-1;53
237;13/05/2022;05/01/2023;AMERICA;A;1;53
236;14/05/2022;05/01/2023;ESPANA;A;0;53
235;15/05/2022;05/01/2023;AMERICA;A;0;53
234;16/05/2022;05/01/2023;AMERICA;A;0;53
233;17/05/2022;05/01/2023;ESPANA;N;-1;53
232;18/05/2022;05/01/2023;AMERICA;F;1;53
232;18/05/2022;05/01/2023;AMERICA;O;-1;53
232;18/05/2022;05/01/2023;ESPANA;R;0;53
225;25/05/2022;05/01/2023;AMERICA;L;1;53
225;25/05/2022;05/01/2023;AMERICA;A;0;53
225;25/05/2022;05/01/2023;ESPANA;A;3;53
224;26/05/2022;05/01/2023;ESPANA;A;-3;53
223;27/05/2022;05/01/2023;AMERICA;L;0;53
215;04/06/2022;05/01/2023;AMERICA;T;4;53
211;08/06/2022;05/01/2023;AMERICA;H;2;53
211;08/06/2022;05/01/2023;AMERICA;S;2;53
211;08/06/2022;05/01/2023;AMERICA;T;0;53
209;10/06/2022;05/01/2023;ESPANA;R;1;53
208;11/06/2022;05/01/2023;AMERICA;S;-2;53
204;15/06/2022;05/01/2023;AMERICA;Q;1;53
204;15/06/2022;05/01/2023;ESPANA;R;-1;53
202;17/06/2022;05/01/2023;AMERICA;Q;1;53
201;18/06/2022;05/01/2023;AMERICA;Q;0;53
199;20/06/2022;05/01/2023;AMERICA;S;2;53
198;21/06/2022;05/01/2023;AMERICA;Q;-1;53
198;21/06/2022;05/01/2023;AMERICA;S;-2;53
196;23/06/2022;05/01/2023;AMERICA;P;1;53
192;27/06/2022;05/01/2023;AMERICA;P;7;53
192;27/06/2022;05/01/2023;AMERICA;Q;0;53
192;27/06/2022;05/01/2023;AMERICA;F;-1;53
189;30/06/2022;05/01/2023;AMERICA;P;-2;53
188;01/07/2022;05/01/2023;AMERICA;P;2;53
185;04/07/2022;05/01/2023;AMERICA;P;0;53
184;05/07/2022;05/01/2023;AMERICA;P;2;53
184;05/07/2022;05/01/2023;ESPANA;S;1;53
184;05/07/2022;05/01/2023;ESPANA;R;1;53
183;06/07/2022;05/01/2023;ESPANA;S;0;53
182;07/07/2022;05/01/2023;AMERICA;P;-2;53
181;08/07/2022;05/01/2023;ESPANA;S;-1;53
181;08/07/2022;05/01/2023;ESPANA;R;-1;53
180;09/07/2022;05/01/2023;AMERICA;P;1;53
177;12/07/2022;05/01/2023;AMERICA;N;3;53
175;14/07/2022;05/01/2023;AMERICA;N;0;53
171;18/07/2022;05/01/2023;AMERICA;A;1;53
170;19/07/2022;05/01/2023;AMERICA;N;2;53
170;19/07/2022;05/01/2023;AMERICA;A;-1;53
168;21/07/2022;05/01/2023;AMERICA;N;4;53
167;22/07/2022;05/01/2023;AMERICA;N;4;53
167;22/07/2022;05/01/2023;AMERICA;A;3;53
167;22/07/2022;05/01/2023;ESPANA;H;1;53
164;25/07/2022;05/01/2023;AMERICA;Y;0;53
164;25/07/2022;05/01/2023;AMERICA;A;-3;53
164;25/07/2022;05/01/2023;AMERICA;N;-5;53
164;25/07/2022;05/01/2023;ESPANA;A;2;53
163;26/07/2022;05/01/2023;AMERICA;A;1;53
163;26/07/2022;05/01/2023;ESPANA;A;2;53
163;26/07/2022;05/01/2023;ESPANA;R;1;53
162;27/07/2022;05/01/2023;AMERICA;A;-1;53
161;28/07/2022;05/01/2023;AMERICA;A;0;53
157;01/08/2022;05/01/2023;AMERICA;A;0;53
157;01/08/2022;05/01/2023;ESPANA;S;0;53
156;02/08/2022;05/01/2023;AMERICA;A;0;53
155;03/08/2022;05/01/2023;AMERICA;A;2;53
154;04/08/2022;05/01/2023;AMERICA;A;2;53
154;04/08/2022;05/01/2023;ESPANA;K;0;53
153;05/08/2022;05/01/2023;AMERICA;A;-1;53
151;07/08/2022;05/01/2023;AMERICA;A;0;53
150;08/08/2022;05/01/2023;AMERICA;A;1;53
149;09/08/2022;05/01/2023;AMERICA;A;1;53
148;10/08/2022;05/01/2023;AMERICA;A;1;53
147;11/08/2022;05/01/2023;AMERICA;A;4;53
147;11/08/2022;05/01/2023;AMERICA;Q;0;53
146;12/08/2022;05/01/2023;AMERICA;A;1;53
145;13/08/2022;05/01/2023;AMERICA;A;8;53
143;15/08/2022;05/01/2023;AMERICA;A;-4;53
143;15/08/2022;05/01/2023;ESPANA;P;2;53
142;16/08/2022;05/01/2023;AMERICA;A;0;53
142;16/08/2022;05/01/2023;ESPANA;R;1;53
